Feature,Duration,ATE,Normalized_ATE,Sum_Normalized_ATE,Type
2.5V_PCU_ELB,10,0.1847859202202824,0.002646436846017137,1.0,IBS_N
Radial Distance from Sun,10,0.0406534196167405,0.0005822235128200479,1.0,IBS_N
Electronic Box Temperature,10,0.4994637854824195,0.007153138959809078,1.0,IBS_N
Outboard Sensor Temperature,10,1.2995007319350576,0.01861097758054025,1.0,IBS_N
Inboard Sensor Temperature,10,0.5073998415693244,0.0072667962731769314,1.0,IBS_N
Search Coil Magnetometer's Temperature,10,-0.7114569614813285,-0.010189228243012645,1.0,IBS_N
Solar Array's Angle,10,59.70888451308279,0.8551289612413893,1.0,IBS_N
High Gain Antenna Azimuth,10,7.624127808449407,0.10918998983781752,1.0,IBS_N
Heater Dutycycle,10,-0.1495178988932403,-0.0021413410518422416,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,10,0.8205797395323569,0.011752045043284714,1.0,IBS_N
2.5V_PCU_ELB,20,0.2457493883121678,0.010959820225196606,1.0,IBS_N
Radial Distance from Sun,20,-0.0065833900329027,-0.00029360305524468424,1.0,IBS_N
Electronic Box Temperature,20,0.4327125370833612,0.019297918290637494,1.0,IBS_N
Outboard Sensor Temperature,20,0.0704009881687523,0.0031397114731598094,1.0,IBS_N
Inboard Sensor Temperature,20,-0.7617313398277439,-0.03397135025136036,1.0,IBS_N
Search Coil Magnetometer's Temperature,20,0.0140441483962795,0.0006263345870211691,1.0,IBS_N
Solar Array's Angle,20,22.59661577198949,1.0077536642502598,1.0,IBS_N
High Gain Antenna Azimuth,20,-1.1534166937283614,-0.05143955675668141,1.0,IBS_N
Heater Dutycycle,20,0.006730433549842,0.00030016083559971914,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,20,0.9782353968685183,0.043626900401411796,1.0,IBS_N
2.5V_PCU_ELB,30,0.2187093348563266,0.011613324330469577,0.9999999999999999,IBS_N
Radial Distance from Sun,30,-0.0038363947890085,-0.00020371008385968906,0.9999999999999999,IBS_N
Electronic Box Temperature,30,-0.2266059084209427,-0.012032627283247251,0.9999999999999999,IBS_N
Outboard Sensor Temperature,30,0.1267363166704624,0.006729616506355546,0.9999999999999999,IBS_N
Inboard Sensor Temperature,30,-0.5913526532422383,-0.03140044369984131,0.9999999999999999,IBS_N
Search Coil Magnetometer's Temperature,30,-0.8007851580431101,-0.04252117434992035,0.9999999999999999,IBS_N
Solar Array's Angle,30,23.76739292896216,1.2620332038185176,0.9999999999999999,IBS_N
High Gain Antenna Azimuth,30,-4.761119008886006,-0.25281234229201716,0.9999999999999999,IBS_N
Heater Dutycycle,30,-0.0564782573267499,-0.0029989589625250192,0.9999999999999999,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,30,1.1599597305159206,0.06159311201606811,0.9999999999999999,IBS_N
2.5V_PCU_ELB,40,0.5569693376782441,0.039371384935478024,1.0000000000000002,IBS_N
Radial Distance from Sun,40,0.0685993137302719,0.004849189721004737,1.0000000000000002,IBS_N
Electronic Box Temperature,40,-0.0227150116846666,-0.0016056924651883277,1.0000000000000002,IBS_N
Outboard Sensor Temperature,40,-0.1333091166053927,-0.009423435349526346,1.0000000000000002,IBS_N
Inboard Sensor Temperature,40,-3.0467692554709607,-0.21537186529292235,1.0000000000000002,IBS_N
Search Coil Magnetometer's Temperature,40,-1.2782366778354537,-0.0903567663015214,1.0000000000000002,IBS_N
Solar Array's Angle,40,16.455211852563508,1.163195953915121,1.0000000000000002,IBS_N
High Gain Antenna Azimuth,40,0.4298389729942548,0.030384716933562702,1.0000000000000002,IBS_N
Heater Dutycycle,40,0.1014454559578862,0.007171037660928372,1.0000000000000002,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,40,1.015516960440677,0.07178547624306368,1.0000000000000002,IBS_N
2.5V_PCU_ELB,50,-0.6605928278684242,-0.01146658795895667,1.0,IBS_N
Radial Distance from Sun,50,0.1701651202542218,0.0029537307046423353,1.0,IBS_N
Electronic Box Temperature,50,0.8811935139751922,0.015295780563441433,1.0,IBS_N
Outboard Sensor Temperature,50,-0.2402075503123361,-0.0041695290773131445,1.0,IBS_N
Inboard Sensor Temperature,50,-1.525664143637771,-0.02648251897511255,1.0,IBS_N
Search Coil Magnetometer's Temperature,50,-1.5523674471058329,-0.026946035630295236,1.0,IBS_N
Solar Array's Angle,50,53.89781281094135,0.9355596750667987,1.0,IBS_N
High Gain Antenna Azimuth,50,5.813241675486127,0.1009064043485364,1.0,IBS_N
Heater Dutycycle,50,-0.1767256073525387,-0.003067607815008775,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,50,1.0033795345240504,0.017416688773267516,1.0,IBS_N
2.5V_PCU_ELB,60,0.272598742350181,0.0050524024523535506,1.0,IBS_N
Radial Distance from Sun,60,0.2429288597512365,0.004502494604974776,1.0,IBS_N
Electronic Box Temperature,60,0.5767069055168683,0.0106888071404953,1.0,IBS_N
Outboard Sensor Temperature,60,-0.7520239168723317,-0.013938169520068471,1.0,IBS_N
Inboard Sensor Temperature,60,-0.8440598101547225,-0.01564398213283232,1.0,IBS_N
Search Coil Magnetometer's Temperature,60,-0.8907089163117103,-0.016508586482491785,1.0,IBS_N
Solar Array's Angle,60,56.13624606529682,1.0404409970530433,1.0,IBS_N
High Gain Antenna Azimuth,60,-2.290842458704468,-0.04245895618053062,1.0,IBS_N
